monthdate,report_code,avgTone,numreport
201509.0,KS,-0.278466755,51486
201509.0,MX,-1.575516584,86691
201509.0,MY,-1.727952743,27049
201509.0,NZ,-0.63421246,23134
201509.0,PE,-0.834831787,17912
201509.0,PP,-1.446644308,4462
201509.0,RP,-1.381842224,14666
201509.0,RS,-1.595732172,398228
201509.0,SN,0.247678197,13731
201509.0,TH,-1.725635136,50052
201509.0,TW,0.020666732,38696
201509.0,US,-0.771083903,465704
201509.0,VM,-0.385310516,27909
201510.0,AS,-0.842994465,55903
201510.0,BX,-0.247876311,1018
201510.0,CA,-0.344412457,83227
201510.0,CH,-0.665310978,228601
201510.0,CI,-0.146881475,58685
201510.0,HK,-0.696986349,9373
201510.0,ID,-2.245869381,24996
201510.0,JA,-0.005039392,153938
201510.0,KS,-0.089440952,53735
201510.0,MX,-1.549589195,90163
201510.0,MY,-1.749840188,29941
201510.0,NZ,-0.205889647,24605
201510.0,PE,-0.913006744,24465
201510.0,PP,-2.798133696,4084
201510.0,RP,-2.734027908,20631
201510.0,RS,-1.972302909,460749
201510.0,SN,0.017803947,11367
201510.0,TH,-0.463191145,37075
201510.0,TW,-0.021961506,38544
201510.0,US,-1.01213935,446800
201510.0,VM,-0.253037418,27101
201511.0,AS,-0.529320667,58407
201511.0,BX,0.400449347,893
201511.0,CA,-0.142141058,69597
201511.0,CH,-0.563773862,205524
201511.0,CI,-0.403711155,53380
201511.0,HK,0.065828445,8506
201511.0,ID,-2.175682331,21919
201511.0,JA,-0.210482457,135814
201511.0,KS,-0.190121089,53298
201511.0,MX,-0.898536318,75635
201511.0,MY,-0.857483782,29715
201511.0,NZ,-0.535702197,26827
201511.0,PE,-0.456159089,15297
201511.0,PP,-1.883962835,2998
201511.0,RP,-1.346894347,22465
201511.0,RS,-2.57100749,530544
201511.0,SN,0.390624011,10730
201511.0,TH,-0.458713384,36391
201511.0,TW,0.152617091,42062
201511.0,US,-0.994352339,398677
201511.0,VM,-0.177286853,30494
201512.0,AS,-0.932888438,52663
201512.0,BX,-0.989246119,1316
201512.0,CA,-0.272336604,65486
201512.0,CH,-0.753716908,230303
201512.0,CI,-0.281447864,41808
201512.0,HK,-0.106634795,9251
201512.0,ID,-2.685793612,22379
201512.0,JA,-0.280709545,141955
201512.0,KS,-0.087034467,61713
201512.0,MX,-1.062199018,66988
201512.0,MY,-1.162870451,21962
201512.0,NZ,-0.438746149,20864
201512.0,PE,-0.554278374,13958
201512.0,PP,-1.205636703,1790
201512.0,RP,-1.6678301,22453
201512.0,RS,-1.935047344,418933
201512.0,SN,0.274001766,9698
201512.0,TH,-1.32891954,44616
201512.0,TW,-0.024965734,35445
201512.0,US,-1.273903485,424329
201512.0,VM,-0.296393786,27777
201601.0,AS,-0.625615159,57210
201601.0,BX,0.269487582,859
201601.0,CA,-0.570987129,75041
201601.0,CH,-0.92341149,257568
201601.0,CI,-0.412040307,46274
201601.0,HK,-1.114509554,10474
201601.0,ID,-4.550180309,34390
201601.0,JA,-0.522706263,145959
201601.0,KS,-0.565852043,61730
201601.0,MX,-1.520160593,96911
201601.0,MY,-2.000341325,23754
201601.0,NZ,-0.314029794,19385
201601.0,PE,-1.307259547,15875
201601.0,PP,-2.441554789,2602
201601.0,RP,-0.906593014,14178
201601.0,RS,-1.964692649,361896
201601.0,SN,-0.300049824,9786
201601.0,TH,-0.702768926,41942
201601.0,TW,-0.362947979,44910
201601.0,US,-0.984544507,450647
201601.0,VM,-0.576605178,29960
201602.0,AS,-0.951453381,56631
201602.0,BX,0.639184933,1237
201602.0,CA,0.126959855,74015
201602.0,CH,-0.677844929,208678
201602.0,CI,-0.251111112,44619
201602.0,HK,-1.488821805,8443
201602.0,ID,-2.094787963,23601
201602.0,JA,-0.517889577,150089
201602.0,KS,-0.65889655,59215
201602.0,MX,-1.35567722,103119
201602.0,MY,-1.331788261,21958
201602.0,NZ,-0.746173539,22529
201602.0,PE,-0.723828353,16177
201602.0,PP,-2.445544187,3252
201602.0,RP,-1.287471074,15950
201602.0,RS,-2.164231529,431724
201602.0,SN,0.049154277,9955
201602.0,TH,-0.842822868,40498
201602.0,TW,-1.345793688,45992
201602.0,US,-0.795555792,467840
201602.0,VM,-0.364551314,24812
201603.0,AS,-0.623347411,64529
201603.0,BX,0.51911594,964
201603.0,CA,-0.234013852,80432
201603.0,CH,-0.651343775,222929
201603.0,CI,-0.294258027,47304
201603.0,HK,-0.059197653,9142
201603.0,ID,-2.013609601,26938
201603.0,JA,-0.474418021,165359
201603.0,KS,-0.778549956,69953
201603.0,MX,-1.101515433,87546
201603.0,MY,-1.682887105,36209
201603.0,NZ,-0.231421532,22562
201603.0,PE,-1.130382783,22438
201603.0,PP,-1.692966116,3379
201603.0,RP,-1.63293371,19093
201603.0,RS,-1.922626641,434144
201603.0,SN,0.121009419,10681
201603.0,TH,-0.558103495,43798
201603.0,TW,-0.078097341,39552
201603.0,US,-0.833120894,527174
201603.0,VM,-0.415428734,30050
201604.0,AS,-0.665774991,57064
201604.0,BX,-0.089256531,863
201604.0,CA,-0.169818963,78974
201604.0,CH,-0.495223361,218760
201604.0,CI,-0.73602984,49373
201604.0,HK,-0.301964341,9589
201604.0,ID,-2.115773044,20139
201604.0,JA,-0.872690538,182842
201604.0,KS,-0.458700489,61208
201604.0,MX,-1.410909573,92163
201604.0,MY,-1.618234479,24463
201604.0,NZ,-0.437250091,19098
201604.0,PE,-1.364762714,28359
201604.0,PP,-3.267225705,6441
201604.0,RP,-2.61488188,21697
201604.0,RS,-1.79164941,407032
201604.0,SN,0.367955248,10420
201604.0,TH,-0.710534894,44183
201604.0,TW,-0.410429641,38232
